benchmark;program;version;test;statement;balancing;ntest-pos; ntest-neg; coverage; heuristic; fault-pos; mar; mfr
defects4j;mockito;1;964;2802;none;938;26;87.0;ochiai;2;0;0
defects4j;mockito;1;964;2802;none;938;26;87.0;tarantula;5;0;0
defects4j;mockito;2;30;1400;none;27;3;45.0;ochiai;4;0;0
defects4j;mockito;2;30;1400;none;27;3;45.0;tarantula;15;0;0
defects4j;mockito;3;965;3352;none;956;9;87.0;ochiai;1;0;0
defects4j;mockito;3;965;3352;none;956;9;87.0;tarantula;8;0;0
defects4j;mockito;4;1311;2214;none;1307;4;91.0;ochiai;2214;0;0
defects4j;mockito;4;1311;2214;none;1307;4;91.0;tarantula;2214;0;0
defects4j;mockito;5;25;4252;none;24;1;36.0;ochiai;4252;0;0
defects4j;mockito;5;25;4252;none;24;1;36.0;tarantula;4252;0;0
defects4j;mockito;6;1089;2500;none;1082;7;91.0;ochiai;3;0;0
defects4j;mockito;6;1089;2500;none;1082;7;91.0;tarantula;3;0;0
defects4j;mockito;7;47;1876;none;46;1;54.0;ochiai;0;0;0
defects4j;mockito;7;47;1876;none;46;1;54.0;tarantula;0;0;0
defects4j;mockito;8;46;193;none;45;1;83.0;ochiai;0;0;0
defects4j;mockito;8;46;193;none;45;1;83.0;tarantula;0;0;0
defects4j;mockito;9;1104;2268;none;1101;3;90.0;ochiai;2268;0;0
defects4j;mockito;9;1104;2268;none;1101;3;90.0;tarantula;2268;0;0
defects4j;mockito;10;1075;1800;none;1074;1;89.0;ochiai;17;0;0
defects4j;mockito;10;1075;1800;none;1074;1;89.0;tarantula;17;0;0
defects4j;mockito;11;902;953;none;900;2;84.0;ochiai;1;0;0
defects4j;mockito;11;902;953;none;900;2;84.0;tarantula;1;0;0
defects4j;mockito;12;20;1565;none;10;10;44.0;ochiai;2;0;0
defects4j;mockito;12;20;1565;none;10;10;44.0;tarantula;2;0;0
defects4j;mockito;13;746;1622;none;745;1;92.0;ochiai;86;0;0
defects4j;mockito;13;746;1622;none;745;1;92.0;tarantula;86;0;0
defects4j;mockito;14;732;1439;none;731;1;91.0;ochiai;94;0;0
defects4j;mockito;14;732;1439;none;731;1;91.0;tarantula;94;0;0
defects4j;mockito;15;23;1243;none;22;1;52.0;ochiai;0;0;0
defects4j;mockito;15;23;1243;none;22;1;52.0;tarantula;0;0;0
defects4j;mockito;16;653;1209;none;652;1;91.0;ochiai;7;0;0
defects4j;mockito;16;653;1209;none;652;1;91.0;tarantula;7;0;0
defects4j;mockito;17;656;1022;none;655;1;91.0;ochiai;4;0;0
defects4j;mockito;17;656;1022;none;655;1;91.0;tarantula;4;0;0
defects4j;mockito;18;1111;1021;none;1110;1;90.0;ochiai;15;0;0
defects4j;mockito;18;1111;1021;none;1110;1;90.0;tarantula;15;0;0
defects4j;mockito;19;1181;1781;none;1180;1;89.0;ochiai;15;0;0
defects4j;mockito;19;1181;1781;none;1180;1;89.0;tarantula;15;0;0
defects4j;mockito;20;1303;2347;none;1295;8;88.0;ochiai;184;0;0
defects4j;mockito;20;1303;2347;none;1295;8;88.0;tarantula;232;0;0
defects4j;mockito;21;17;940;none;16;1;31.0;ochiai;6;0;0
defects4j;mockito;21;17;940;none;16;1;31.0;tarantula;6;0;0
defects4j;mockito;22;567;931;none;566;1;75.0;ochiai;11;0;0
defects4j;mockito;22;567;931;none;566;1;75.0;tarantula;11;0;0
defects4j;mockito;23;1044;1925;none;1043;1;87.0;ochiai;21;0;0
defects4j;mockito;23;1044;1925;none;1043;1;87.0;tarantula;21;0;0
defects4j;mockito;24;1053;3394;none;1051;2;89.0;ochiai;1;0;0
defects4j;mockito;24;1053;3394;none;1051;2;89.0;tarantula;1;0;0
defects4j;mockito;25;1031;3296;none;1025;6;88.0;ochiai;70;0;0
defects4j;mockito;25;1031;3296;none;1025;6;88.0;tarantula;81;0;0
defects4j;mockito;26;783;3048;none;778;5;87.0;ochiai;130;0;0
defects4j;mockito;26;783;3048;none;778;5;87.0;tarantula;222;0;0
defects4j;mockito;27;1075;1513;none;1073;2;94.0;ochiai;28;0;0
defects4j;mockito;27;1075;1513;none;1073;2;94.0;tarantula;28;0;0
defects4j;mockito;28;28;1267;none;27;1;56.0;ochiai;309;0;0
defects4j;mockito;28;28;1267;none;27;1;56.0;tarantula;309;0;0
defects4j;mockito;29;58;1620;none;57;1;58.0;ochiai;1620;0;0
defects4j;mockito;29;58;1620;none;57;1;58.0;tarantula;1620;0;0
defects4j;mockito;30;982;780;none;981;1;90.0;ochiai;0;0;0
defects4j;mockito;30;982;780;none;981;1;90.0;tarantula;0;0;0
defects4j;mockito;31;782;765;none;781;1;89.0;ochiai;0;0;0
defects4j;mockito;31;782;765;none;781;1;89.0;tarantula;0;0;0
defects4j;mockito;32;955;1562;none;954;1;93.0;ochiai;3;0;0
defects4j;mockito;32;955;1562;none;954;1;93.0;tarantula;3;0;0
defects4j;mockito;33;690;1525;none;688;2;91.0;ochiai;81;0;0
defects4j;mockito;33;690;1525;none;688;2;91.0;tarantula;193;0;0
defects4j;mockito;34;611;2113;none;609;2;89.0;ochiai;50;0;0
defects4j;mockito;34;611;2113;none;609;2;89.0;tarantula;61;0;0
defects4j;mockito;35;632;1374;none;628;4;92.0;ochiai;1;0;0
defects4j;mockito;35;632;1374;none;628;4;92.0;tarantula;4;0;0
defects4j;mockito;36;804;2035;none;802;2;93.0;ochiai;2035;0;0
defects4j;mockito;36;804;2035;none;802;2;93.0;tarantula;2035;0;0
defects4j;mockito;37;303;1235;none;301;2;86.0;ochiai;3;0;0
defects4j;mockito;37;303;1235;none;301;2;86.0;tarantula;3;0;0
defects4j;mockito;38;102;1371;none;100;2;65.0;ochiai;1371;0;0
defects4j;mockito;38;102;1371;none;100;2;65.0;tarantula;1371;0;0